Sample name	Origin	CellType	Population
AB3542-L1_H2NWFBGX7_S1	GF	1	P7
AB3543-L1_H2NWFBGX7_S2	GF	2	P8
AB3544-L1_H2NWFBGX7_S3	GF	3	P1
AB3545-L1_H2NWFBGX7_S4	GF	4	P2
AB3546-L1_H2NWFBGX7_S5	GF	5	P6
AB3547-L1_H2NWFBGX7_S6	GF	6	P5
AB3548-L1_H2NWFBGX7_S7	GF	7	P3
AB3549-L1_H2NWFBGX7_S8	GF	8	P4
AB3550-L1_H2NWFBGX7_S9	SPF	1	P7
AB3551-L1_H2NWFBGX7_S10	SPF	2	P8
AB3552-L1_H2NWFBGX7_S11	SPF	3	P1
AB3553-L1_H2NWFBGX7_S12	SPF	4	P2
AB3554-L1_H2NWFBGX7_S13	SPF	5	P6
AB3555-L1_H2NWFBGX7_S14	SPF	6	P5
AB3556-L1_H2NWFBGX7_S15	SPF	7	P3
AB3557-L1_H2NWFBGX7_S16	SPF	8	P4
AB3558-L1_H3VKTBGX7_S1	GF	1	P7
AB3559-L1_H3VKTBGX7_S2	GF	2	P8
AB3560-L1_H3VKTBGX7_S3	GF	3	P1
AB3561-L1_H3VKTBGX7_S4	GF	4	P2
AB3562-L1_H3VKTBGX7_S5	GF	5	P6
AB3563-L1_H3VKTBGX7_S6	GF	6	P5
AB3564-L1_H3VKTBGX7_S7	GF	7	P3
AB3565-L1_H3VKTBGX7_S8	GF	8	P4
AB3566-L1_H3VKTBGX7_S9	SPF	1	P7
AB3567-L1_H3VKTBGX7_S10	SPF	2	P8
AB3568-L1_H3VKTBGX7_S11	SPF	3	P1
AB3569-L1_H3VKTBGX7_S12	SPF	4	P2
AB3570-L1_H3VKTBGX7_S13	SPF	5	P6
AB3571-L1_H3VKTBGX7_S14	SPF	6	P5
AB3572-L1_H3VKTBGX7_S15	SPF	7	P3
AB3573-L1_H3VKTBGX7_S16	SPF	8	P4